Model,ProcessingPower,TDP,ReleasePriceUSD,YEAR
GeForce GT 720[29],306,19,49,2014
GeForce GT 7305,692.7,23,69,2014
GeForce GT 7405,762.6,64,89,2014
GeForce GTX 650 Ti Boost,1505.28,134,170,2013
GeForce GTX 750,1044.5,55,119,2014
GeForce GTX 750 Ti,1305.6,60,149,2014
GeForce GTX 760,2257.9,170,249,2013
GeForce GTX 770,3213.3,230,399,2013
GeForce GTX 780,3976.7,250,649,2013
GeForce GTX 780 Ti,5045.7,250,699,2013
GeForce GTX 950,1573,90,159,2015
GeForce GTX 960,2308,120,199,2015
GeForce GTX 970,3494,145,329,2014
GeForce GTX 980,4612,165,549,2014
GeForce GTX 980 Ti,5632,250,649,2015
GeForce GTX Titan,4499.7,250,999,2013
GeForce GTX Titan Black,5120.6,250,999,2014
GeForce GTX Titan X,6144,250,999,2015
GeForce GTX 1070,5783,150,379,2016
GeForce GTX 1060,3855,250,299,2016
GeForce 1080,8228,180,599,2016
GeForce GTX Titan Z,8121.6,375,2999,2014
GeForce Titan X  Pascal,10157,250,1199,2016
Radeon Pro Duo(Fiji XT),16384,350,1499,2016
RadeonR7 240(Oland Pro),499.2,30,69,2013
Radeon R7 250X (Cape Verde XT),1280,95,99,2014
Radeon R7 250 (Oland XT),806.4,75,89,2013
Radeon R7 260X (Bonaire XTX),1971.2,115,139,2013
Radeon R7 260 (Bonaire),1536,95,109,2014
Radeon R7 265 (Pitcairn Pro),1843.2,150,149,2014
Radeo R7 360(Bonaire Pro),1612.8,100,109,2015
Radeon R7 370(Pitcairn Pro),1996.8,110,149,2015
Radeon R9 270X)(Pitcairn XT),2688,180,199,2013
Radeon R9 270[37](Pitcairn XT),2368,150,179,2013
Radeon R9 280 (Tahiti Pro),3343.9,250,249,2014
Radeon R9 280X (Tahiti XTL),4096,250,299,2013
Radeon R9 285[37] (Tonga Pro),3290,190,249,2014
Radeon R9 290 (Hawaii Pro),4848.6,250,399,2013
Radeon R9 290X (Hawaii XT),5632,250,549,2013
Radeon R9 295X2 (Vesuvius),11466.752,500,1499,2014
Radeon R9 370X (Pitcairn XT),2560,185,179,2015
Radeon R9 380X (Tonga XT),3973.1,190,229,2015
Radeon R9 380 (Tonga Pro),3476.5,190,199,2015
Radeon R9 390X(Hawaii XT),5913.6,275,429,2015
Radeon R9 390 (Hawaii Pro),5120,275,329,2015
Radeon R9 Fury X(Fiji XT),8601.6,275,649,2015
Radeon R9 Fury (Fiji Pro),7168,275,549,2015
Radeon R9 Nano (Fiji XT),8192,175,649,2015
Radeon RX 460 (Baffin),2150,75,139,2016
Radeon RX 470 (Ellesmere PRO),4940,120,179,2016
Radeon RX 480 (Ellesmere XT),5834,150,239,2016
Radeon HD 7730,614.4,47,60,2013
Radeon HD 7790,1792,85,150,2013
Radeon HD 7990,8200,375,1000,2013
Radeon Pro WX 5100,3320,75,499,2016
Radeon Pro WX 7100,4150,130,799,2016